Date,Open,High,Low,Close,Volume,Adj Close
10/27/16,214.580002,214.619995,213.080002,213.169998,75369700,213.169998
10/26/16,213.210007,214.419998,212.929993,213.740005,75705500,213.740005
10/25/16,214.679993,214.979996,213.979996,214.169998,66542300,214.169998
10/24/16,215,215.320007,214.479996,214.889999,60146600,214.889999
10/21/16,213.880005,214.080002,212.759995,213.979996,89089100,213.979996
10/20/16,213.869995,214.529999,213.110001,213.880005,73639800,213.880005
10/19/16,214.020004,214.639999,213.600006,214.279999,66519200,214.279999
10/18/16,214.240005,214.309998,213.270004,213.710007,76869700,213.710007
10/17/16,213.089996,213.389999,212.169998,212.380005,58275700,212.380005
10/14/16,214.149994,214.690002,213.029999,213.119995,93346200,213.119995
10/13/16,212.160004,213.589996,211.210007,213.009995,101357000,213.009995
10/12/16,213.589996,214.320007,213.009995,213.710007,73866100,213.710007
10/11/16,215.660004,215.740005,212.580002,213.429993,130367400,213.429993
10/10/16,216.160004,216.699997,215.990005,216.160004,51855000,216.160004
10/7/16,216.100006,216.300003,214.190002,215.039993,89788300,215.039993
10/6/16,215.369995,216.039993,214.740005,215.779999,62927400,215.779999
10/5/16,215.410004,216.130005,215.330002,215.630005,72816000,215.630005
10/4/16,215.910004,216.169998,213.990005,214.679993,119948100,214.679993
10/3/16,215.820007,216.039993,215.039993,215.779999,83512100,215.779999
9/30/16,215.649994,217.119995,215.360001,216.300003,117202900,216.300003
9/29/16,216.399994,216.869995,214.039993,214.679993,128070600,214.679993
9/28/16,215.830002,216.820007,214.710007,216.639999,87411000,216.639999
9/27/16,214.050003,215.679993,213.619995,215.570007,78494800,215.570007
9/26/16,215.020004,215.229996,214.009995,214.240005,89827300,214.240005
9/23/16,216.720001,216.880005,215.880005,215.990005,73630900,215.990005
9/22/16,217,217.529999,216.710007,217.179993,76678700,217.179993
9/21/16,214.240005,216.029999,213.440002,215.820007,110284400,215.820007
9/20/16,214.410004,214.589996,213.380005,213.419998,69665300,213.419998
9/19/16,214.130005,214.880005,213.029999,213.410004,80250500,213.410004
9/16/16,213.479996,213.690002,212.570007,213.369995,155236400,213.369995
9/15/16,212.960007,215.729996,212.75,215.279999,134427900,214.197992
9/14/16,213.289993,214.699997,212.5,213.149994,134185500,212.078693
9/13/16,214.839996,215.149994,212.5,213.229996,182828800,212.158293
9/12/16,212.389999,216.809998,212.309998,216.339996,168110900,215.252662
9/9/16,216.970001,217.029999,213.25,213.279999,221589100,212.208044
9/8/16,218.619995,218.940002,218.149994,218.509995,74102900,217.411754
9/7/16,218.839996,219.220001,218.300003,219.009995,76554900,217.909241
9/6/16,218.699997,219.119995,217.860001,219.029999,56702100,217.929145
9/2/16,218.389999,218.869995,217.699997,218.369995,79293900,217.272458
9/1/16,217.369995,217.729996,216.029999,217.389999,97844200,216.297388
8/31/16,217.610001,217.75,216.470001,217.380005,85269500,216.287444
8/30/16,218.259995,218.589996,217.350006,218,58114500,216.904323
8/29/16,217.440002,218.669998,217.399994,218.360001,70502200,217.262514
8/26/16,217.919998,219.119995,216.25,217.289993,122506300,216.197885
8/25/16,217.399994,218.190002,217.220001,217.699997,69224800,216.605828
8/24/16,218.800003,218.910004,217.360001,217.850006,71728900,216.755083
8/23/16,219.25,219.600006,218.899994,218.970001,53399200,217.869449
8/22/16,218.259995,218.800003,217.830002,218.529999,61368800,217.431658
8/19/16,218.309998,218.75,217.740005,218.539993,75443000,217.441602
8/18/16,218.339996,218.899994,218.210007,218.860001,52989300,217.760001
8/17/16,218,218.529999,217.020004,218.369995,75134300,217.272458
8/16/16,218.600006,218.679993,217.960007,217.960007,53213600,216.86453
8/15/16,218.889999,219.5,218.880005,219.089996,49813500,217.988841
8/12/16,218.289993,218.710007,217.990005,218.460007,61313500,217.362017
8/11/16,218.259995,218.940002,217.949997,218.649994,72504300,217.55105
8/10/16,218.309998,218.399994,217.229996,217.639999,57941100,216.546132
8/9/16,218.130005,218.759995,217.800003,218.179993,51251700,217.083411
8/8/16,218.399994,218.520004,217.740005,218.050003,39906500,216.954074
8/5/16,216.410004,218.229996,216.410004,218.179993,71892200,217.083411
8/4/16,216.309998,216.779999,214.25,216.410004,46585500,215.322318
8/3/16,215.479996,216.25,215.130005,216.179993,53993600,215.093463
8/2/16,216.649994,216.830002,214.570007,215.550003,92295500,214.46664
8/1/16,217.190002,217.649994,216.410004,216.940002,73311400,215.849653
7/29/16,216.460007,217.539993,216.130005,217.119995,79519400,216.028741
7/28/16,216.289993,217.110001,215.75,216.770004,65035700,215.680509
7/27/16,217.190002,217.270004,215.619995,216.520004,84083900,215.431766
7/26/16,216.529999,217.169998,215.759995,216.75,70080500,215.660605
7/25/16,217,217.059998,215.970001,216.649994,55873100,215.561102
7/22/16,216.410004,217.300003,216.100006,217.240005,62787500,216.148148
7/21/16,216.960007,217.220001,215.75,216.270004,67777300,215.183022
7/20/16,216.190002,217.369995,216.190002,217.089996,58159500,215.998893
7/19/16,215.919998,216.229996,215.630005,216.190002,54345700,215.103422
7/18/16,215.970001,216.600006,215.669998,216.410004,58725900,215.322318
7/15/16,216.779999,217.009995,215.309998,215.830002,107155400,214.745231
7/14/16,216.399994,216.669998,215.660004,216.119995,91230900,215.033767
7/13/16,215.440002,215.449997,214.350006,214.919998,87324100,213.839801
7/12/16,214.529999,215.300003,213.429993,214.949997,101275600,213.869649
7/11/16,213.190002,214.070007,212.949997,213.399994,73633900,212.327436
7/8/16,211.050003,212.940002,210.779999,212.649994,133971000,211.581206
7/7/16,209.869995,210.649994,208.630005,209.529999,85593800,208.476892
7/6/16,207.830002,209.800003,207.059998,209.660004,96021500,208.606244
7/5/16,208.949997,209.080002,207.710007,208.410004,109803700,207.362526
7/1/16,209.479996,210.490005,209.289993,209.919998,106055300,208.864931
6/30/16,207.210007,209.539993,206.559998,209.479996,165021900,208.42714
6/29/16,204.839996,206.929993,204.720001,206.660004,137328600,205.621322
6/28/16,201.479996,203.229996,201.119995,203.199997,159382400,202.178705
6/27/16,201.589996,201.600006,198.649994,199.600006,230775800,198.596808
6/24/16,203.630005,210.850006,202.720001,203.240005,333444400,202.218513
6/23/16,209.809998,210.869995,209.270004,210.809998,102731400,209.750458
6/22/16,208.649994,209.5,207.929993,208.100006,95560500,207.054087
6/21/16,208.300003,208.919998,207.779999,208.440002,72461700,207.392374
6/20/16,208.820007,209.610001,207.75,207.850006,82789600,206.805343
6/17/16,207.169998,207.199997,205.75,206.520004,117055700,205.482026
6/16/16,207.75,208.570007,205.589996,208.369995,149533100,206.250143
6/15/16,208.039993,209.360001,207.529999,207.75,109124500,205.636455
6/14/16,208,208.740005,206.919998,208.039993,125059300,205.923499
6/13/16,209.360001,210.369995,208.350006,208.449997,117751200,206.329331
6/10/16,210.460007,210.860001,209.429993,210.070007,113829200,207.93286
6/9/16,211.509995,212.220001,211.190002,212.080002,73786900,209.922406
6/8/16,211.839996,212.520004,211.690002,212.369995,66170900,210.209449
6/7/16,211.529999,212.339996,211.5,211.679993,60974800,209.526466
6/6/16,210.699997,211.770004,210.509995,211.350006,64887000,209.199837
6/3/16,210.25,210.690002,208.860001,210.279999,101757100,208.140715
6/2/16,209.800003,210.929993,209.240005,210.910004,63044700,208.764311
6/1/16,209.119995,210.479996,208.889999,210.270004,69936200,208.130822
